x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1966.9,1966-09,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1966,9,,13.6,30,-0.6,30,30,30,,63.4,30,9,,0,30,,,,,8.9,140.9
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1966.10,1966-10,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1966,10,,8.170967741935485,31,-6.7,31,22.2,31,,35.5,31,7,,0,31,,,,,0,304.7
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1966.11,1966-11,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1966,11,,4.023333333333333,30,-9.4,30,16.7,30,,117.3,30,14,,13.1,30,,,,,0,419.3
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1966.12,1966-12,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1966,12,,-3.167741935483871,31,-17.8,31,16.7,31,,175.2,31,13,,43.1,31,,,,,0,656.2
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.1,1967-01,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,1,,-2.6838709677419357,31,-16.1,31,12.8,31,,30,31,5,,29.2,31,,,,,0,641.2
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.2,1967-02,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,2,,-8.267857142857142,28,-23.3,28,6.1,28,,50.4,28,10,,49.4,28,,,,,0,735.5
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.3,1967-03,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,3,,-1.5161290322580645,31,-23.3,31,21.1,31,,55.9,31,8,,43.2,31,,,,,0,605
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.4,1967-04,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,4,,6.383333333333334,30,-6.1,30,21.1,30,,85.1,30,8,,2.5,30,,,,,0,348.5
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.5,1967-05,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,5,,8.438709677419356,31,-1.1,31,21.1,31,,59.6,31,9,,0,31,,,,,0,296.4
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.6,1967-06,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,6,,20.173333333333332,30,3.9,30,31.1,30,,138.2,30,8,,0,30,,,,,77.6,12.4
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.7,1967-07,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,7,,19.33225806451613,31,6.7,31,29.4,31,,72.5,31,6,,0,31,,,,,69.1,27.8
-80.1,43.3,43.300,-80.100,PETERS CORNERS,6156470,5000.1967.8,1967-08,2014-07-31 11:52:04,ON,ONTARIO,ONTARIO,1967,8,,18.032258064516128,31,6.7,31,28.3,31,,110.3,31,9,,0,31,,,,,27.3,26.3
