x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1978.10,1978-10,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1978,10,,8.858064516129032,31,-4,31,21,31,,47,31,11,,0,31,,,,,0,283.4
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1978.11,1978-11,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1978,11,,3.3766666666666665,30,-10,30,18,30,,66.2,30,6,,11.8,30,,,,,0,438.7
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1978.12,1978-12,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1978,12,,-2,31,-16,31,10,31,,76,31,14,,26.7,31,,,,,0,620
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.1,1979-01,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,1,,-7.158064516129032,31,-22.5,31,3,31,,104.2,31,9,,59.8,31,,,,,0,779.9
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.2,1979-02,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,2,,-10.185714285714285,28,-27,28,8.5,28,,30.8,28,9,,20.6,28,,,,,0,789.2
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.3,1979-03,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,3,,2.193548387096774,31,-15.5,31,16.5,31,,56.8,31,10,,2,31,,,,,0,490
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.4,1979-04,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,4,,6.086666666666667,30,-6.5,30,23,30,,120,30,13,,37.2,30,,,,,0,357.4
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.5,1979-05,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,5,,12.561290322580644,31,-0.5,31,31.5,31,,77.7,31,12,,0,31,,,,,11.6,180.2
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.6,1979-06,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,6,,18.296666666666667,30,6,30,31.5,30,,58.8,30,8,,0,30,,,,,52.2,43.3
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.7,1979-07,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,7,,21.529032258064515,31,9.5,31,31.5,31,,28.6,31,6,,0,31,,,,,115,5.6
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.8,1979-08,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,8,,19.5,31,8.5,31,30.5,31,,53.8,31,10,,0,31,,,,,66.7,20.2
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.9,1979-09,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,9,,15.93,30,1,30,29.5,30,,45,30,5,,0,30,,,,,22.9,85
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.10,1979-10,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,10,,8.887096774193548,31,-2.5,31,24,31,,94.8,31,17,,0,31,,,,,3.8,286.3
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.11,1979-11,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,11,,4.51,30,-8,30,16.5,30,,90,30,13,,0.2,30,,,,,0,404.7
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1979.12,1979-12,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1979,12,,-0.7161290322580646,31,-16.5,31,14,31,,120,31,13,,25.8,31,,,,,0,580.2
-79.31666666666666,43.78333333333333,43.783,-79.317,TORONTO CASTLEMERE,6158M1K,5040.1980.1,1980-01,2014-07-31 11:52:05,ON,ONTARIO,ONTARIO,1980,1,,-4.425806451612903,31,-19,31,9.5,31,,47.4,31,6,,8.6,31,,,,,0,695.2
