x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.1999.9,1999-09,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,1999,9,17.83,18.906666666666666,30,3,30,31,30,89.08,45.4,30,7,,0,30,0,,,,65.9,38.7
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.1999.10,1999-10,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,1999,10,11.25,11.07741935483871,31,1.5,31,23.5,31,70.72,51,31,9,0.04,0,31,0,,,,0.3,214.9
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.1999.11,1999-11,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,1999,11,5.17,6.986666666666666,30,-4.5,30,22.5,30,76.75,54.6,30,5,1.73,0,30,0,,,,0,330.4
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.1999.12,1999-12,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,1999,12,-0.91,0.7032258064516129,31,-14,31,14,31,67.03,53.5,31,13,15.94,2,31,0,,,,0,536.2
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.1,2000-01,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,1,-3.58,-3.464516129032258,31,-18,31,12.5,31,62.72,67.9,31,14,31.12,50.5,31,8,,,,0,665.4
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.2,2000-02,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,2,-2.35,-0.2413793103448276,29,-15,29,19,29,54.14,43.4,29,8,17.63,26.8,29,0,,,,0,529
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.3,2000-03,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,3,1.94,6.161290322580645,31,-5,31,24,31,59.9,53.8,31,9,11.28,11.6,31,0,,,,0,367
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.4,2000-04,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,4,8.54,7.836666666666667,30,-3.5,30,22,30,79.73,93,30,9,1.43,1,30,0,,,,0,304.9
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.5,2000-05,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,5,14.62,16.29032258064516,31,5,31,29,31,79.69,86.5,31,9,,0,31,0,,,,33.2,86.2
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.6,2000-06,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,6,20.26,20.686666666666667,30,9.5,30,32,30,77.93,124.5,30,13,,0,30,0,,,,96.8,16.2
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.7,2000-07,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,7,22.59,20.838709677419356,31,11,31,29.5,31,85.37,99.9,31,8,,0,31,0,,,,90.6,2.6
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.8,2000-08,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,8,21.63,20.825806451612902,31,9.5,31,29,31,79.26,98.9,31,7,,0,31,0,,,,96.4,8.8
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.9,2000-09,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,9,17.83,17.223333333333333,30,4,30,30.5,30,89.08,59.1,30,7,,0,30,0,,,,51.2,74.5
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.10,2000-10,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,10,11.25,12.096774193548388,31,0,31,25.5,31,70.72,58.9,31,5,0.04,0,31,0,,,,6.1,189.1
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.11,2000-11,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,11,5.17,4.973333333333334,30,-8,30,18,30,76.75,48,30,8,1.73,0.4,30,0,,,,0,390.8
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2000.12,2000-12,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2000,12,-0.91,-6.445161290322581,31,-19,31,5.5,31,67.03,76.8,31,13,15.94,42.6,31,13,,,,0,757.8
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.1,2001-01,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,1,-3.58,-3.338709677419355,31,-16,31,5,31,62.72,36.8,31,10,31.12,15.8,31,3,,,,0,661.5
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.2,2001-02,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,2,-2.35,-0.7964285714285714,28,-10,28,12.5,28,54.14,68.6,28,8,17.63,2,28,0,,,,0,526.3
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.3,2001-03,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,3,1.94,1.4967741935483871,31,-9,31,11.5,31,59.9,32.3,31,7,11.28,16.4,31,0,,,,0,511.6
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.4,2001-04,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,4,8.54,9.65,30,-2,30,25,30,79.73,85.4,30,13,1.43,1.4,30,0,,,,0.8,251.3
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.5,2001-05,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,5,14.62,15.896774193548387,31,2,31,29,31,79.69,80.7,31,13,,0,31,0,,,,15.5,80.7
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.6,2001-06,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,6,20.26,20.536666666666665,30,9.5,30,33,30,77.93,78,30,10,,0,30,0,,,,100.7,24.6
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.7,2001-07,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,7,22.59,22.474193548387095,31,8,31,34,31,85.37,9.4,31,7,,0,31,0,,,,143.4,4.7
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.8,2001-08,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,8,21.63,23.03548387096774,31,9,31,36.5,31,79.26,50.3,31,7,,0,31,0,,,,156.3,0.2
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.9,2001-09,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,9,17.83,17.12,30,5,30,31.5,30,89.08,145.3,30,11,,0,30,0,,,,38.4,64.8
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.10,2001-10,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,10,11.25,11.680645161290322,31,0,31,26,31,70.72,142.8,31,15,0.04,0,31,0,,,,2.5,198.4
-82.21528,42.390006666666665,42.390,-82.215,CHATHAM WPCP,6131415,4619.2001.11,2001-11,2014-07-31 11:51:45,ON,ONTARIO,ONTARIO,2001,11,5.17,8.786666666666667,30,-1,30,18.5,30,76.75,91.8,30,10,1.73,0,30,0,,,,0,276.4
