x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1976.9,1976-09,2022-05-27 11:30:36,ON,ONTARIO,ONTARIO,1976,9,,15.763333333333334,30,3.9,30,29.4,30,,54.4,30,8,,0,30,,,,,30,97.1
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1976.10,1976-10,2022-05-27 10:49:09,ON,ONTARIO,ONTARIO,1976,10,,7.245161290322581,31,-6.1,31,22.2,31,,58.9,31,12,,6.6,31,0,,,,0,333.4
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1976.11,1976-11,2022-05-27 11:02:19,ON,ONTARIO,ONTARIO,1976,11,,1.0666666666666667,30,-11.1,30,14.4,30,,18.1,30,5,,8.1,30,0,,,,0,508
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1976.12,1976-12,2022-05-27 11:27:08,ON,ONTARIO,ONTARIO,1976,12,,-6.836666666666667,30,-20,30,4.4,30,,46.5,30,12,,47.9,30,8,,,,0,745.1
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.1,1977-01,2022-05-27 10:43:51,ON,ONTARIO,ONTARIO,1977,1,,-11.093548387096774,31,-26,31,-1,31,,34.4,31,9,,62,31,25,,,,0,901.9
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.2,1977-02,2022-05-27 11:35:22,ON,ONTARIO,ONTARIO,1977,2,,-5.392857142857143,28,-19.8,28,5.5,28,,27.6,28,7,,12.7,28,2,,,,0,655
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.3,1977-03,2022-05-27 11:16:25,ON,ONTARIO,ONTARIO,1977,3,,2.925806451612903,31,-10.2,31,23.6,31,,70.1,31,10,,14.6,31,0,,,,0,467.3
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.4,1977-04,2022-05-27 10:43:45,ON,ONTARIO,ONTARIO,1977,4,,8.116666666666667,30,-9.9,30,27.3,30,,63.8,30,7,,0.6,30,0,,,,3.1,299.6
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.5,1977-05,2022-05-27 10:43:44,ON,ONTARIO,ONTARIO,1977,5,,15.706451612903226,31,0.6,31,34.1,31,,19.7,31,4,,0,31,0,,,,42.6,113.7
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.6,1977-06,2022-05-27 10:53:59,ON,ONTARIO,ONTARIO,1977,6,,17.356666666666666,30,3.9,30,30.1,30,,103.9,30,9,,0,30,0,,,,35.4,54.7
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.7,1977-07,2022-05-27 11:27:02,ON,ONTARIO,ONTARIO,1977,7,,21.525806451612905,31,10.1,31,35.8,31,,117,31,7,,0,31,0,,,,115.3,6
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.8,1977-08,2022-05-27 11:31:02,ON,ONTARIO,ONTARIO,1977,8,,18.993548387096773,31,7.8,31,31.5,31,,96.9,31,13,,0,31,0,,,,61.4,30.6
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.9,1977-09,2022-05-27 10:58:12,ON,ONTARIO,ONTARIO,1977,9,,15.68,30,6.8,30,31.4,30,,150.4,30,13,,0,30,0,,,,14.1,83.7
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.10,1977-10,2022-05-27 11:39:00,ON,ONTARIO,ONTARIO,1977,10,,8.758064516129032,31,-1.3,31,18.6,31,,78,31,5,,0,31,0,,,,0,286.5
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.11,1977-11,2022-05-27 11:23:35,ON,ONTARIO,ONTARIO,1977,11,,4.473333333333334,30,-10.1,30,19.9,30,,91.1,30,10,,17,30,6,,,,0,405.8
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1977.12,1977-12,2022-05-27 11:05:50,ON,ONTARIO,ONTARIO,1977,12,,-3.575862068965517,29,-20.7,29,12.6,29,,99.5,27,12,,56.2,27,6,,,,0,625.7
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.1,1978-01,2022-05-27 11:05:48,ON,ONTARIO,ONTARIO,1978,1,,-8.00344827586207,29,-19.1,29,4.8,29,,81.6,29,14,,59.9,29,18,,,,0,754.1
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.2,1978-02,2022-05-27 10:58:02,ON,ONTARIO,ONTARIO,1978,2,,-8.610714285714286,28,-21,28,0.6,28,,12.6,27,5,,14.6,28,12,,,,0,745.1
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.3,1978-03,2022-05-27 10:53:53,ON,ONTARIO,ONTARIO,1978,3,,-2.7344827586206897,29,-14.7,29,9.8,29,,35.9,28,7,,7.1,28,0,,,,0,601.3
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.4,1978-04,2022-05-27 11:06:01,ON,ONTARIO,ONTARIO,1978,4,,4.6433333333333335,30,-5.6,30,17.9,30,,61.3,30,6,,0,30,0,,,,0,400.7
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.5,1978-05,2022-05-27 11:16:44,ON,ONTARIO,ONTARIO,1978,5,,14.458064516129033,31,-2.9,31,32.3,31,,72.4,31,9,,0,31,0,,,,40.3,150.1
-79.48333333333333,43.75,43.750,-79.483,TORONTO DOWNSVIEW A,6158443,5069.1978.6,1978-06,2022-05-27 11:27:16,ON,ONTARIO,ONTARIO,1978,6,,18.273333333333333,30,5.3,30,33.2,30,,26.4,30,6,,0,30,0,,,,54,45.8
