x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2004.12,2004-12,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2004,12,,-15.912903225806451,31,-41,31,4,31,,67,31,15,,55.6,31,46,,,,0,1051.3
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.1,2005-01,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,1,,-18.761290322580646,31,-40,31,0,31,,36,31,10,,36,31,58,,,,0,1139.6
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.2,2005-02,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,2,,-12.371428571428572,28,-33,28,8,28,,47.4,28,9,,39.8,28,69,,,,0,850.4
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.3,2005-03,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,3,,-9.148387096774194,31,-30.5,31,15,31,,27.4,31,5,,14.6,31,37,,,,0,841.6
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.8,2005-08,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,8,,17.558064516129033,31,2,31,32.5,31,,85.6,31,12,,0,31,0,,,,35.1,48.8
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.9,2005-09,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,9,,14.003333333333334,30,-1,30,32,30,,99.1,30,10,,0,30,0,,,,21,140.9
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.10,2005-10,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,10,,6.464516129032258,31,-6,31,28,31,,131.8,31,12,,0.8,31,0,,,,2,359.6
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2005.11,2005-11,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2005,11,,-4.343333333333334,30,-25.5,30,9,30,,135.4,30,16,,105.8,30,17,,,,0,670.3
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2006.3,2006-03,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2006,3,,-4.387096774193548,31,-23,31,13.5,31,,70.6,31,10,,59.4,31,45,,,,0,694
-82.12361111111112,49.38333333333333,49.383,-82.124,BONNER LAKE,6070QK6,4140.2006.5,2006-05,2014-07-31 11:51:27,ON,ONTARIO,ONTARIO,2006,5,,11.851612903225806,31,-5,31,33,31,,33.2,31,10,,1.6,31,0,,,,18.1,208.7
