x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.7,1988-07,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,7,,21.06451612903226,31,5,31,36,31,,105.8,31,8,,0,31,,,,,103,8
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.8,1988-08,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,8,,19.75,30,3,30,35,31,,88.2,31,11,,0,31,,,,,96,43.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.9,1988-09,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,9,,14.053333333333333,30,0,30,28,30,,119.8,30,9,,0,30,,,,,4,122.4
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.10,1988-10,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,10,,5.774193548387097,31,-8,31,25,31,,128.9,31,15,,34.8,31,,,,,0.5,379.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.11,1988-11,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,11,,3.816666666666667,30,-5,30,17,30,,73.5,30,14,,0,30,0,,,,0,425.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1988.12,1988-12,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1988,12,,-4.274193548387097,31,-28,31,11,31,,50,31,13,,40,31,4,,,,0,690.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1989.1,1989-01,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1989,1,,-3.629032258064516,31,-27,31,10,31,,61.6,31,14,,41.4,31,0,,,,0,670.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1989.2,1989-02,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1989,2,,-8.071428571428571,28,-30,28,4,28,,43.6,28,12,,43.6,28,14,,,,0,730
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1989.3,1989-03,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1989,3,,-4.241935483870968,31,-27,31,21,31,,46.2,31,9,,33.4,31,0,,,,0,689.5
-79.9,44.3,44.300,-79.900,BORDEN STP,6110HK7,4399.1989.4,1989-04,2014-07-31 11:51:37,ON,ONTARIO,ONTARIO,1989,4,,3.2533333333333334,30,-8,30,19,30,,38,30,10,,1.4,30,,,,,0,442.4
