x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1971.8,1971-08,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1971,8,,19.329032258064515,31,2.2,31,32.2,31,,105.4,31,7,,0,31,,,,,63,21.8
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1971.9,1971-09,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1971,9,,17.303333333333335,30,1.7,30,31.1,30,,32.5,30,7,,0,30,,,,,46.6,67.5
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1971.10,1971-10,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1971,10,,13.13225806451613,31,-1.7,31,30.6,31,,38.1,31,5,,0,31,,,,,4,154.9
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1971.11,1971-11,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1971,11,,2.92,30,-11.7,30,19.4,30,,39.4,30,9,,7.1,30,,,,,0,452.4
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1971.12,1971-12,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1971,12,,-1.1451612903225807,31,-20.6,31,16.1,31,,113,31,14,,29.2,31,,,,,0,593.5
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.1,1972-01,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,1,,-6.093548387096774,31,-23.9,31,7.2,31,,46.8,31,12,,33,31,,,,,0,746.9
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.2,1972-02,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,2,,-7.606896551724138,29,-25,29,7.8,29,,47.8,29,12,,47.8,29,,,,,0,742.6
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.3,1972-03,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,3,,-3.8967741935483873,31,-17.2,31,7.8,31,,111.6,31,12,,36.7,31,,,,,0,678.8
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.4,1972-04,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,4,,3.3,30,-15.6,30,20.6,30,,64.3,30,9,,10.1,30,,,,,0,441
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.5,1972-05,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,5,,13.438709677419356,31,0,31,27.8,31,,68,31,8,,0,31,,,,,1,142.4
-79.85,43.56666666666667,43.567,-79.850,HORNBY,6153545,4945.1972.6,1972-06,2014-07-31 11:52:02,ON,ONTARIO,ONTARIO,1972,6,,15.996666666666666,30,0.6,30,30,30,,116.7,30,7,,0,30,,,,,18.4,78.5
